Lot,Wafer,Lot/Wf,Chip-Nr,Lot/Wf/Ch,X-Coord.,Y-Coord.,M-Date,Device,CGAP,BDON,BDOP,RS_NN,RS_PP,RS_NNS,RCTNN,RS_PPS,RCTPP,RS_P1,RS_P1S,RCT_P1,RSRP1,VTXN1,KP_N1,VTXN3,IDSN3,GA_N1,STLN3,ISBN3,BDSN3,VTXNHA,IDSNHA,BDSNHA,ZVRU,VTXP1,KP_P1,VTXP3,IDSP3,GA_P1,STLP3,BDSP3,RS_NW,RVI_V1,RVI_V2,RS_M1,RS_M2,RS_LW,RS_PWLW,VTXNI1,KP_NI1,VTXNI3,IDSNI3,GA_NI1,STLNI3,ISBNI3,BDSNI3,RS_NLW,VTXPI1,KP_PI1,VTXPI3,IDSPI3,GA_PI1,STLPI3,BDSPI3,RS_PLW,RS_M3Q,RS_M4,RVI_V3,RSSNUG,RSSPUG,C0V_DPVC,VTXN51,KP_N51,VTXN53,IDSN53,GA_N51,ISBN53,BDSN53,VTXP51,KP_P51,VTXP53,IDSP53,BDSP53,GA_P51,CGAP5,BDON5,BDOP5,VTXN5I1,KP_N5I1,VTXN5I3,IDSN5I3,GA_N5I1,ISBN5I3,BDSN5I3,VTXP5I1,KP_P5I1,VTXP5I3,IDSP5I3,BDSP5I3,GA_P5I1,VBENVB,HFMNVB,EVFNVB,
,,,,,,,,,fF/um2,V,V,Ohm/sq.,Ohm/sq.,Ohm/sq.,Ohm/ct.,Ohm/sq.,Ohm,Ohm/sq.,Ohm/sq.,Ohm/ct.,Ohm/sq.,V,uA/V2,V,uA/um,sqrt(V),pA/um,uA/um,V,V,uA/um,V,V,V,uA/V2,V,uA/um,sqrt(V),pA/um,V,kOhm/sq,Ohm/via,Ohm/via,mOhm/sq.,Ohm/sq.,kOhm/sq.,kOhm/sq.,V,uA/V2,V,uA/um,sqrt(V),pA/um,uA/um,V,Ohm/sq.,V,uA/V2,V,uA/um,sqrt(V),pA/um,V,Ohm/sq.,mOhm/sq.,mOhm/sq.,Ohm/Via,Ohm/sq.,Ohm/sq.,fF/um,V,uA/V^2,V,uA/um,V^0.5,uA/um,V,V,uA/V^2,V,uA/um,V,V^0.5,fF/um^2,V,V,V,uA/V^2,V,uA/um,V^0.5,uA/um,V,V,uA/V^2,V,uA/um,V,V^0.5,mV,-,V,
,,,,,,,,,4,5,5,76,133,1.5,.01,1.5,.01,33,1.5,.01,37,.56,154,.5,420,.52,.000001,.1,5.5,.49,79,13.2,3,-.99,48,-.87,180,.35,.000001,5.5,1.07,.01,.01,60,60,1.7,5,.5,153,.49,405,.51,.000001,.1,5,76,-1.02,48,-.93,170,.35,.000001,5,115,60,30,.01,750,430,3.9,.83,78,.8,370,.8,.1,7,-1.09,30,-1.04,165,7,.69,2.1,10,10,.8,78,.76,385,.78,.1,7,-1.14,29,-1.11,150,7,.7,670,25,50,
,,,,,,,,,4.8,10,11,93,167,5,20,5,20,47,20,20,53,.66,186,.7,580,.62,10,1.5,10,.69,115,24,6,-.79,62,-.61,320,.49,10,10,1.25,6,6,120,120,2.3,6.6,.7,199,.69,595,.63,20,1.5,10,93,-.8,62,-.63,310,.49,10,10,195,120,60,6,1250,570,4.9,1.03,118,1.1,530,1,15,13,-.89,38,-.84,245,13,.85,2.8,16,16,1,118,1.06,545,.98,15,13,-.94,37,-.91,230,14,.86,700,10000000000000000,10000000000000000,
M79013,01,M79013/01,1,M79013/01/1,0,-1,18.02.17 16:30:37,XF61589.2,4.28839,8.04,9.536,87.5493,150.363,3.18475,7.48354,3.35372,7.68482,42.392,4.44757,6.98861,41.8036,.606711,166.636,.641717,477.64,.59353,.0302371,.60208,7.001,.574785,93.0757,15.641,3.758,-.825434,54.996,-.718462,247.7,.453561,.0836663,7,1.13675,1.20243,1.82576,100.891,87.3895,1.99864,5.20237,.594464,165.979,.631016,469.972,.580932,.0330834,.52695,7.001,87.6115,-.863231,53.6742,-.76772,226.28,.45957,.00653829,7,152.907,89.0448,39.3381,1.48737,1038.81,510.69,4.31426,.947509,104.37,.968481,442.9,.913424,3,11.697,-.997849,33.6475,-.954008,202.2,9.993,.760989,2.50291,13.755,15.64,.918494,104.56,.940507,448.9,.881466,2.8574,11.922,-1.05554,32.9315,-1.01306,193.4,9.31,.774812,687.344,31.976,73.6804,
M79013,01,M79013/01,2,M79013/01/2,-9,-1,18.02.17 16:30:37,XF61589.2,4.30993,7.98722,9.48048,87.7324,149.644,3.33104,7.27484,3.2876,7.96094,44.6429,4.47211,6.99105,43.1851,.601134,168.292,.600897,498,.590994,.0781743,.61266,7.002,.567556,94.212,15.674,3.911,-.827248,55.068,-.713607,246.8,.451842,.0825272,7,1.13226,1.16101,1.72783,92.9336,86.5878,2.0075,5.21431,.590787,166.168,.586195,487.194,.578951,.127707,.55679,7.001,88.471,-.863301,53.8214,-.768411,231.64,.457943,.00835136,6.9996,152.976,81.8193,39.1383,1.27832,1041.43,502.358,4.33346,.934973,104.975,.962293,445.18,.91157,2.9902,11.556,-.999081,33.6345,-.94955,206.85,9.844,.760905,2.50098,13.726,15.599,.911713,104.925,.925858,453.4,.880945,2.8884,11.769,-1.05786,32.8265,-1.01517,193.5,9.274,.775376,686.982,33.372,88.2666,
M79013,01,M79013/01,3,M79013/01/3,0,-10,18.02.17 16:30:37,XF61589.2,4.29995,7.993,9.499,87.1976,149.004,3.46797,7.32279,3.44041,7.87402,45.0288,4.47232,7.02741,43.3053,.600932,168.733,.589862,502.44,.592142,.141269,.6752,7.001,.567989,94.3484,15.646,4.014,-.824137,55.175,-.700625,256.75,.450456,.378805,7,1.1358,1.15686,1.65583,91.9561,90.3109,2.00176,5.21757,.588027,166.949,.577419,498.5,.579465,.17017,.61095,7.001,87.7325,-.863104,53.9566,-.755127,239.88,.457933,.0264285,7,152.376,82.1984,38.4586,1.26404,1032.2,500.668,4.32266,.935705,105.35,.954734,450.95,.909331,3.0386,11.622,-.998624,33.724,-.94625,205.9,9.86,.760125,2.49318,13.725,15.604,.911878,105.39,.913372,459.65,.879259,3.0192,11.834,-1.05592,32.9985,-1.0103,197.55,9.205,.774577,687.004,33.5231,74.921,
M79013,01,M79013/01,4,M79013/01/4,8,-1,18.02.17 16:30:37,XF61589.2,4.31201,7.986,9.482,87.9929,150.789,3.31429,7.12826,3.15288,7.97448,43.5186,4.38037,6.92473,42.527,.596526,168.264,.590403,499.48,.590148,.123053,.64223,7.001,.563884,94.606,15.493,3.75,-.82957,55.303,-.717319,252,.450266,.21534,7,1.13621,1.17921,1.73657,92.4605,86.7352,1.99591,5.20671,.583537,167.611,.578568,501.671,.575419,.181215,.6317,7.001,89.4632,-.868957,53.94,-.771841,232,.456482,.0101353,7,152.978,82.005,38.4299,1.34522,1044.28,506.035,4.31583,.930777,105.575,.963991,447.15,.907666,2.9984,11.632,-1.00066,33.7445,-.951163,202.9,9.888,.759017,2.50292,13.729,15.608,.911162,105.095,.915799,455.45,.878442,2.9766,11.803,-1.05811,32.9265,-1.01328,194.9,9.155,.774879,687.328,32.6945,77.3107,
M79013,01,M79013/01,5,M79013/01/5,0,9,18.02.17 16:30:37,XF61589.2,4.30221,7.999,9.501,88.3555,147.74,3.35976,7.24218,3.15846,7.80153,43.7573,4.42128,7.11997,42.8984,.602189,168.778,.592726,503.2,.594193,.134074,.66148,7.002,.568647,93.6514,15.54,4.397,-.821196,55.182,-.701238,255.95,.450987,.363122,7,1.13494,1.15177,1.71565,90.5997,90.0218,1.99314,5.20616,.589254,166.719,.59351,494.68,.582637,.113004,.61043,7.002,89.4378,-.861084,53.991,-.755229,243,.458575,.0243601,7,151.148,80.7811,38.2934,1.32319,1058.1,489.908,4.32372,.938754,105.37,.948463,453.55,.915292,3.1474,11.633,-.996154,33.7495,-.942257,207.85,9.886,.760483,2.50122,13.733,15.614,.914935,105.285,.919123,458.2,.883759,3.2192,11.85,-1.05479,32.884,-1.0129,196.95,9.309,.773966,687.2,32.3739,75.2263,
M79013,02,M79013/02,1,M79013/02/1,0,-1,18.02.17 16:30:37,XF61589.2,4.29134,8.044,9.533,87.5801,152.201,3.20499,7.34646,3.2793,8.2786,43.8186,4.43429,6.68717,41.8174,.607216,167.148,.630242,480.98,.592915,.0515481,.59679,7.002,.576174,92.6969,15.642,3.652,-.827812,54.9,-.714958,248.35,.453662,.0954316,7,1.13451,1.23625,1.85339,98.9843,87.2627,2.00258,5.19913,.596247,165.572,.63391,467.918,.580982,.0329199,.52363,7.001,88.6161,-.865065,53.5976,-.767499,227.28,.459525,.00523736,7,154.045,82.687,39.3619,1.39086,1051.45,517.423,4.30048,.939781,104.655,.960694,447.25,.909913,2.9302,11.736,-1.00232,33.719,-.951425,202.8,9.983,.760855,2.50369,13.758,15.636,.910123,104.855,.918644,454.05,.880012,2.8908,11.903,-1.05714,32.9075,-1.02092,194,9.322,.77501,687.388,31.7546,73.694,
M79013,02,M79013/02,2,M79013/02/2,-9,-1,18.02.17 16:30:37,XF61589.2,4.31166,7.991,9.482,87.8667,149.775,3.26357,7.5601,3.20475,7.88188,42.4112,4.5118,6.84369,43.0183,.603027,168.084,.603678,498.52,.591022,.106141,.632,7.002,.569583,94.1514,15.637,3.907,-.827116,55.087,-.719853,247.1,.450787,.0988228,7.001,1.13421,1.19135,1.72427,90.7921,88.553,2.00335,5.25155,.592164,166.215,.598161,486.561,.578567,.0875854,.55654,7.001,88.076,-.865778,53.807,-.762539,233.64,.457222,.0133582,7,152.072,81.1028,39.1445,1.27446,1047.44,508.195,4.32686,.941688,105.03,.949133,449.65,.910504,2.9744,11.537,-1.00039,33.667,-.942695,206.8,9.871,.760466,2.50336,13.741,15.606,.909868,105.095,.891727,460.7,.87971,2.8242,11.746,-1.05782,32.8435,-1.00716,194.8,9.308,.77589,687.204,32.9006,75.8096,
